",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
238492_at,0.763376623953286,6.61537430403438,4.27969249540079,0.00029612557361025,0.163723772374613,0.352858754592956,NA
"209940_at,0.511188013531978,6.11161642714242,4.27760373257635,0.000297651444213983,0.163723772374613,0.348520797102952,""PARP3"""
"243186_at,-0.570459332196041,5.87027144518345,-4.27030538586174,0.000303044883876101,0.163723772374613,0.333362884156739,""FAM117B"""
"230425_at,1.46592858117462,3.70763036176217,4.26888528537191,0.000304105614605476,0.163723772374613,0.330413366761017,""EPHB1"""
"214577_at,0.952313986346006,6.21260616946132,4.25463673079349,0.00031495574118162,0.163723772374613,0.300817473173589,""MAP1B"""
"210379_s_at,-0.771649659574871,7.01995278987435,-4.25111743375322,0.000317694621910056,0.163723772374613,0.293506965463497,""TLK1"""
"228584_at,0.907689521230003,5.39638159386437,4.25024981772044,0.000318373485142688,0.163723772374613,0.291704668154916,""SGCB"""
232491_at,1.22117981328796,4.97351175010206,4.24485470631318,0.00032262747843808,0.163723772374613,0.280497152994166,NA
"228709_at,0.766961726563351,5.79022186250418,4.23924803613109,0.000327108385741012,0.163723772374613,0.268849700442328,""TPR"""
"227655_at,1.42947473061916,5.99817620360396,4.23900766359395,0.000327301875841099,0.163723772374613,0.268350333815536,""SNHG18"""
"227233_at,1.00563409113496,4.51364488105479,4.23138054900568,0.000333501041730967,0.163723772374613,0.252504826030346,""TSPAN2"""
232600_at,0.89408935357701,5.3627234556192,4.2298039425008,0.000334797010968445,0.163723772374613,0.249229293578419,NA
"242206_at,1.53803859056145,6.65547768897038,4.22346395472067,0.00034005938747061,0.163723772374613,0.236057123357951,""ZNF727"""
"222570_at,1.16101522008779,7.64756966596157,4.2233643371887,0.000340142727896623,0.163723772374613,0.235850150768838,""NCS1"""
